PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,1,EFDHV15D65A         ,1632,PC,
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,2,EFDHV20D65A         ,1632,PC,
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,3,EFDHV23D65A         ,3072,PC,
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,4,EFDHV25D65A         ,6048,PC,
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,5,EFDHV5D65A          ,1248,PC,
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,6,EFDHV8D65A          ,480,PC,
PLIC0069,PIZ00003  ,07-25-2015,2015-08-07,301367,SEA.F     ,7,EFU18E652V          ,62000,PC,
