PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,1,EFDHV20L27A         ,480,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,2,EFDHV23D65A         ,1152,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,3,EFDHV25D65A         ,9600,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,4,EFDHV15D65A         ,4800,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,5,EFDHV20D65A         ,2400,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,6,EFDHV25L27A         ,480,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,7,EFDHV5D65A          ,3552,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,8,EFDHV5L27A          ,2400,PC,
PLIC0283,PIZ00003  ,03-16-2016,,301367,SEA.F     ,9,EFDHV8D65A          ,1152,PC,
