PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV3LH6A          ,4600,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV5DH6A          ,14500,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV5LH6A          ,5500,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV7DH6A          ,29000,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV7LH6A          ,8000,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV9DH6A          ,24000,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV9LH6A          ,5000,PC,
PC180448,PIZ00003  ,06-23-2018,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV3DH6A          ,8500,PC,
