PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160165,PIZ00003  ,11-25-2016,,301367,00038274,SEA.F     ,1,EFDHV15D65BE        ,1152,PC,
PC160165,PIZ00003  ,11-25-2016,,301367,00038274,SEA.F     ,2,EFDHV15D65E         ,1152,PC,
PC160165,PIZ00003  ,11-25-2016,,301367,00038274,SEA.F     ,3,EFDHV15L27E         ,1152,PC,
PC160165,PIZ00003  ,11-25-2016,,301367,00038274,SEA.F     ,4,EFDHV23L27BE        ,1152,PC,
PC160165,PIZ00003  ,11-25-2016,,301367,00038274,SEA.F     ,5,EFDHV23L27E         ,1152,PC,
