PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH5T         ,15500,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH5T         ,1700,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH5T         ,5200,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH5T         ,5000,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV3LH6A          ,4000,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV5DH6A          ,33000,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV5LH6A          ,8000,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV7LH6A          ,16000,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV9DH6A          ,60000,PC,
PC170329,PIZ00003  ,09-23-2017,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV9LH6A          ,10000,PC,
