PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0046,PIZ00003  ,07-10-2015,,301367,SEA.F     ,1,EFDHV11D65A         ,2400,PC,
PLIC0046,PIZ00003  ,07-10-2015,,301367,SEA.F     ,2,EFDHV23D65A         ,3840,PC,
PLIC0046,PIZ00003  ,07-10-2015,,301367,SEA.F     ,3,EFDHV23L27A         ,480,PC,
PLIC0046,PIZ00003  ,07-10-2015,,301367,SEA.F     ,4,EFDHV15L27A         ,960,PC,
PLIC0046,PIZ00003  ,07-10-2015,,301367,SEA.F     ,5,EFDHV20D65A         ,3840,PC,
PLIC0046,PIZ00003  ,07-10-2015,,301367,SEA.F     ,6,EFDHV5D65A          ,2400,PC,
