PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,1,EFDHV11L27L         ,1992,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,2,EFDHV15D65L         ,4500,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,3,EFDHV20D65L         ,4992,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,4,EFDHV20L27L         ,2496,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,5,EFDHV23D65L         ,1992,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,6,EFDHV23L27L         ,1500,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,7,EFDHV25D65L         ,1992,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,8,EFDHV25L27L         ,1500,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,9,EFDHV42D65A         ,600,PC,
PC160028,PIZ00003  ,04-19-2016,,301367,SEA.F     ,10,EFDHV8L27L          ,1992,PC,
