PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0032,PLI00004  ,05-24-2015,2015-06-10,301367,SEA.F     ,1,EFD11E65HD3A2       ,2280,PC,
PLIC0032,PLI00004  ,05-24-2015,2015-06-10,301367,SEA.F     ,2,EFD14E27HD3A2       ,3960,PC,
PLIC0032,PLI00004  ,05-24-2015,2015-06-10,301367,SEA.F     ,3,EFD14E65HD3A2       ,6000,PC,
PLIC0032,PLI00004  ,05-24-2015,2015-06-10,301367,SEA.F     ,4,EFD19E65HD3A        ,1200,PC,
PLIC0032,PLI00004  ,05-24-2015,2015-06-10,301367,SEA.F     ,5,EFD5E65HD3A2        ,480,PC,
