PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65BE        ,2400,PC,
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15L27BE        ,2400,PC,
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27E         ,2304,PC,
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV23D65BE        ,2400,PC,
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65E         ,2400,PC,
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV23L27BE        ,2400,PC,
PC170213,PIZ00003  ,02-24-2017,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV23L27E         ,1152,PC,
