PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,1,EFDHV11D65L         ,3996,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,2,EFDHV11L27L         ,3984,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,3,EFDHV15D65L         ,4500,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,4,EFDHV15L27L         ,3996,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,5,EFDHV20D65L         ,4992,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,6,EFDHV20L27L         ,2496,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,7,EFDHV23D65L         ,1992,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,8,EFDHV25D65L         ,1992,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,9,EFDHV25L27L         ,1500,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,10,EFDHV32D65A         ,498,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,11,EFDHV42D65A         ,600,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,12,EFDHV8D65L          ,3996,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,13,EFDHV8L27L          ,3984,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,14,EFUHV11L27L         ,200,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,15,EFUHV14L27L         ,200,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,16,EFUHV8D65L          ,500,PC,
PC160065,PIZ00003  ,06-25-2016,,301367,SEA.F     ,17,EFUHV8L27L          ,100,PC,
