PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,7968,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15L27T1        ,2688,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV20D65T1        ,8640,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV23D65T1        ,5088,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV25D65T         ,31024,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,6,EFU11E652V          ,2500,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,7,EFU14E272V1         ,9500,PC,
PC160143,PIZ00003  ,09-21-2016,1970-01-01,301367,00038274,SEA.F     ,8,EFU14E652V1         ,45000,PC,
