PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160016,PIZ00003  ,05-14-2016,,301367,SEA.F     ,1,EFDHV25D65A         ,1200,PC,
PC160016,PIZ00003  ,05-14-2016,,301367,SEA.F     ,2,EFDHV15D65A         ,2400,PC,
PC160016,PIZ00003  ,05-14-2016,,301367,SEA.F     ,3,EFDHV20D65A         ,600,PC,
PC160016,PIZ00003  ,05-14-2016,,301367,SEA.F     ,4,EFDHV5L27A          ,600,PC,
PC160016,PIZ00003  ,05-14-2016,,301367,SEA.F     ,5,EFDHV8D65A          ,600,PC,
PC160016,PIZ00003  ,05-14-2016,,301367,SEA.F     ,6,EFDHV8L27A          ,600,PC,
