PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170271,PIZ00006  ,05-20-2017,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV3DH6A          ,10000,PC,
PC170271,PIZ00006  ,05-20-2017,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV3LH6A          ,1000,PC,
PC170271,PIZ00006  ,05-20-2017,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV5DH6A          ,10000,PC,
PC170271,PIZ00006  ,05-20-2017,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV5LH6A          ,1000,PC,
PC170271,PIZ00006  ,05-20-2017,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV7LH6A          ,1000,PC,
PC170271,PIZ00006  ,05-20-2017,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV9LH6A          ,1000,PC,
