PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,1,EFDHV15L27A         ,672,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,2,EFDHV20L27A         ,672,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,3,EFDHV23D65A         ,3456,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,4,EFDHV23L27A         ,1248,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,5,EFDHV25D65A         ,30240,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,6,EFUHV18D65A3        ,18000,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,7,EFUHV18L27A3        ,1500,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,8,EFUHV23D65A3        ,2000,PC,
PC170232,PIZ00003  ,03-25-2017,,301367,00038274,SEA.F     ,9,EFUHV23L27A3        ,100,PC,
