PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,1,LDAHV10DG4A1        ,500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,2,LDAHV10DG4BA        ,500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,3,LDAHV10LG4BA        ,500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,4,LDAHV7DG4A1         ,500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,5,LDAHV7DG4BA         ,1500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,6,LDAHV7LG4BA         ,750,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,7,LDAHV8DG4A1         ,500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,8,LDAHV8DG4BA         ,500,PC,
PC160164,PIZ00006  ,11-25-2016,,301367,00038274,SEA.F     ,9,LDAHV8LG4A1         ,500,PC,
