PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,1,EFDHV11D65BA        ,4800,PC,
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,2,EFDHV15D65BA        ,4800,PC,
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,3,EFDHV23D65BA        ,3552,PC,
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,4,EFDHV25D65BA        ,9600,PC,
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,5,EFDHV5D65BA         ,3552,PC,
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,6,EFDHV8D65BA         ,3552,PC,
PLIC0101,PIZ00003  ,09-23-2015,2015-11-10,301367,SEA.F     ,7,EFDHV20D65BA        ,5952,PC,
