PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,16200,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,4000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH6T         ,9900,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH6T         ,2500,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV20DH5T         ,3850,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV30DH5T         ,3000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV3DH6T          ,5000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV3LH6T          ,2000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV5DH6T          ,13000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV5LH6T          ,5000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,11,LDAHV7DH6T          ,29700,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,12,LDAHV7LH6T          ,7000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,13,LDAHV9DH6T          ,10000,PC,
PC190573,PIZ00003  ,03-25-2019,1970-01-01,301367,00038274,SEA.F     ,14,LDAHV9LH6T          ,6500,PC,
