PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,1,EFD11E27HD3A2       ,5040,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,2,EFD11E65HD3A2       ,6000,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,3,EFD14E27HD3A2       ,2520,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,4,EFD14E65HD3A2       ,7920,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,5,EFD22E27HD3A        ,240,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,6,EFD22E65HD3A2       ,600,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,7,EFD25E27HD3A        ,1320,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,8,EFD25E65HD3A2       ,960,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,9,EFD5E27HD3A2        ,960,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,10,EFD8E27HD3A2        ,5040,PC,
PLIC0055,PLI00004  ,06-14-2015,2015-07-10,301367,SEA.F     ,11,EFD8E65HD3A2        ,3000,PC,
