PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,5000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,7000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH6T         ,12300,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH6T         ,8000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV20DH5T         ,3000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV23DH5T         ,4800,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV30DH5T         ,3500,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV3DH6T          ,7000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV3LH6T          ,3000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV5DH6T          ,7000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,11,LDAHV5LH6T          ,7000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,12,LDAHV7DH6T          ,10000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,13,LDAHV7LH6T          ,7000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,14,LDAHV9DH6T          ,4000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,15,LDAHV9LH6T          ,5000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,16,LDTHV11L30GA1       ,1000,PC,
PC190629,PIZ00003  ,07-22-2019,1970-01-01,301367,00038274,SEA.F     ,17,LDTHV7L30GA1        ,3000,PC,
