PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170309,PIZ00003  ,08-25-2017,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV3LH6A          ,3500,PC,
PC170309,PIZ00003  ,08-25-2017,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV5DH6A          ,14000,PC,
PC170309,PIZ00003  ,08-25-2017,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV7LH6A          ,4000,PC,
PC170309,PIZ00003  ,08-25-2017,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV9DH6A          ,33000,PC,
PC170309,PIZ00003  ,08-25-2017,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV5LH6A          ,2000,PC,
