PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,1,EFDHV11D65BA        ,4800,PC,
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,2,EFDHV15D65BA        ,7200,PC,
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,3,EFDHV23D65BA        ,0,PC,
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,4,EFDHV25D65BA        ,9600,PC,
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,5,EFDHV8D65BA         ,5952,PC,
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,6,EFDHV5L27BA         ,1152,PC,
PLIC0018,PIZ00003  ,05-24-2015,,301367,SEA.F     ,7,EFDHV20D65BA        ,4800,PC,
