PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160056,PIZ00003  ,05-25-2016,,301367,SEA.F     ,1,EFDLV11L27L         ,132,PC,
PC160056,PIZ00003  ,05-25-2016,,301367,SEA.F     ,2,EFDLV15D65L         ,780,PC,
PC160056,PIZ00003  ,05-25-2016,,301367,SEA.F     ,3,EFDLV20L27L         ,396,PC,
PC160056,PIZ00003  ,05-25-2016,,301367,SEA.F     ,4,EFDLV25D65L         ,1776,PC,
PC160056,PIZ00003  ,05-25-2016,,301367,SEA.F     ,5,EFDLV25L27L         ,192,PC,
PC160056,PIZ00003  ,05-25-2016,,301367,SEA.F     ,6,EFDLV23L27L         ,348,PC,
