PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,18912,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV20D65T1        ,3648,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV23D65T1        ,864,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV25D65T         ,159936,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFU11E652V          ,1700,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFU14E272V1         ,6000,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,7,EFU14E652V1         ,35000,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,8,EFU8E652V1          ,12500,PC,
PC170277,PIZ00003  ,06-23-2017,1970-01-01,301367,00038274,SEA.F     ,9,EFUHV18D65A         ,26000,PC,
