PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170230,PIZ00003  ,04-03-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV25L27T         ,2496,PC,
PC170230,PIZ00003  ,04-03-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV42D65A         ,4488,PC,
PC170230,PIZ00003  ,04-03-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFU11E652V          ,1500,PC,
PC170230,PIZ00003  ,04-03-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFUHV18D65A         ,33000,PC,
PC170230,PIZ00003  ,04-03-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFUHV18L27A         ,1500,PC,
PC170230,PIZ00003  ,04-03-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFUHV23D65A         ,1500,PC,
