PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,1,EFDHV11D65A         ,864,PC,
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,2,EFDHV20D65A         ,3456,PC,
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,3,EFDHV23D65A         ,2400,PC,
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,4,EFDHV25L27A         ,2880,PC,
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,5,EFU8E652V           ,1000,PC,
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,6,LDAHV11DH3A         ,1000,PC,
PC160003,PIZ00003  ,04-24-2016,,301367,SEA.F     ,7,LDAHV7DH3A          ,800,PC,
