PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160113,PIZ00003  ,08-24-2016,1970-01-01,301367,SEA.F     ,1,EFDHV15D65T1        ,4800,PC,
PC160113,PIZ00003  ,08-24-2016,1970-01-01,301367,SEA.F     ,2,EFDHV15L27T1        ,96,PC,
PC160113,PIZ00003  ,08-24-2016,1970-01-01,301367,SEA.F     ,3,EFDHV20D65T1        ,2976,PC,
PC160113,PIZ00003  ,08-24-2016,1970-01-01,301367,SEA.F     ,4,EFDHV23D65T1        ,960,PC,
PC160113,PIZ00003  ,08-24-2016,1970-01-01,301367,SEA.F     ,5,EFU14E272V1         ,800,PC,
PC160113,PIZ00003  ,08-24-2016,1970-01-01,301367,SEA.F     ,6,EFU14E652V1         ,2000,PC,
