PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190649,PIZ00003  ,08-21-2019,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV20DH5T         ,550,PC,
PC190649,PIZ00003  ,08-21-2019,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV23DH5T         ,1000,PC,
PC190649,PIZ00003  ,08-21-2019,1970-01-01,301367,00038274,SEA.F     ,3,LDTHV11D65GA1       ,2000,PC,
PC190649,PIZ00003  ,08-21-2019,1970-01-01,301367,00038274,SEA.F     ,4,LDTHV11L30GA1       ,1000,PC,
PC190649,PIZ00003  ,08-21-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDTHV7D65GA1        ,2000,PC,
