PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,1,LDAHV3DH6A          ,13000,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,2,LDAHV3LH6A          ,6030,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,3,LDAHV5DH6A          ,45000,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,4,LDAHV5LH6A          ,9400,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,5,LDAHV7DH6A          ,32400,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,6,LDAHV7LH6A          ,9800,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,7,LDAHV9DH6A          ,38000,PC,
PC160102,PIZ00006  ,08-14-2016,1970-01-01,301367,SEA.F     ,8,LDAHV9LH6A          ,11700,PC,
