PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV3DH6A          ,24000,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV3LH6A          ,10000,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV5DH6A          ,35000,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV5LH6A          ,7700,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV7DH6A          ,50000,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV7LH6A          ,16500,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV9DH6A          ,37000,PC,
PC160185,PIZ00003  ,12-24-2016,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV9LH6A          ,10300,PC,
