PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,15000,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV20D65T1        ,4416,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV25D65T         ,199968,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV25L27T         ,4512,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV42D65A         ,508,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFU11E652V          ,1500,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,7,EFU14E652V1         ,30000,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,8,EFU8E652V1          ,800,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,9,EFUHV18D65A         ,28000,PC,
PC170298,PIZ00003  ,07-15-2017,1970-01-01,301367,00038274,SEA.F     ,10,EFUHV18L27A         ,200,PC,
