PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,1,EFDHV11D65BA        ,4800,PC,
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,2,EFDHV11L27BA        ,192,PC,
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,3,EFDHV15D65BA        ,4800,PC,
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,4,EFDHV25D65BA        ,2400,PC,
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,5,EFDHV5D65BA         ,9600,PC,
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,6,EFDHV8D65BA         ,4800,PC,
PLIC0052,PIZ00003  ,08-10-2015,,301367,SEA.F     ,7,EFDHV20D65BA        ,4800,PC,
