PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180456,PIZ00006  ,07-25-2018,,301367,00038274,SEA.F     ,1,LDAHV10DG4BA        ,250,PC,
PC180456,PIZ00006  ,07-25-2018,,301367,00038274,SEA.F     ,2,LDAHV10LG4A1        ,250,PC,
PC180456,PIZ00006  ,07-25-2018,,301367,00038274,SEA.F     ,3,LDAHV10LG4BA        ,250,PC,
PC180456,PIZ00006  ,07-25-2018,,301367,00038274,SEA.F     ,4,LDAHV7DG4A1         ,250,PC,
PC180456,PIZ00006  ,07-25-2018,,301367,00038274,SEA.F     ,5,LDAHV7LG4A1         ,250,PC,
PC180456,PIZ00006  ,07-25-2018,,301367,00038274,SEA.F     ,6,LDAHV8LG4A1         ,250,PC,
