PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160196,PIZ00003  ,01-23-2017,,301367,00038274,SEA.F     ,1,EFDHV15L27BE        ,1152,PC,
PC160196,PIZ00003  ,01-23-2017,,301367,00038274,SEA.F     ,2,EFDHV23D65BE        ,1152,PC,
PC160196,PIZ00003  ,01-23-2017,,301367,00038274,SEA.F     ,3,EFDHV23D65E         ,2400,PC,
PC160196,PIZ00003  ,01-23-2017,,301367,00038274,SEA.F     ,4,EFDHV23L27BE        ,1152,PC,
PC160196,PIZ00003  ,01-23-2017,,301367,00038274,SEA.F     ,5,EFDHV23L27E         ,750,PC,
