PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170391,PIZ00006  ,01-09-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV5DH6A          ,10000,PC,
PC170391,PIZ00006  ,01-09-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV7DH6A          ,3000,PC,
PC170391,PIZ00006  ,01-09-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV9DH6A          ,4000,PC,
