PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180429,PIZ00003  ,04-25-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH5T         ,1000,PC,
PC180429,PIZ00003  ,04-25-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH5T         ,2500,PC,
PC180429,PIZ00003  ,04-25-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH5T         ,1000,PC,
PC180429,PIZ00003  ,04-25-2018,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH5T         ,6000,PC,
PC180429,PIZ00003  ,04-25-2018,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV3LH6A          ,1000,PC,
