PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,1,EFDHV15L27M         ,8736,PC,
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,2,EFDHV15D65M         ,13104,PC,
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,3,EFDHV20D65M         ,3432,PC,
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,4,EFDHV23L27M         ,7956,PC,
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,5,EFDHV23D65M         ,7956,PC,
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,6,EFDHV25L27M         ,7344,PC,
PLIC0041,PIZ00003  ,05-13-2015,2015-06-10,301367,SEA.F     ,7,EFDHV25D65M         ,7344,PC,
