PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160082,PIZ00003  ,07-09-2016,,301367,SEA.F     ,1,EFU11E652V          ,5000,PC,
PC160082,PIZ00003  ,07-09-2016,,301367,SEA.F     ,2,EFUHV11D65A         ,12000,PC,
PC160082,PIZ00003  ,07-09-2016,,301367,SEA.F     ,3,EFUHV14D65A         ,12000,PC,
PC160082,PIZ00003  ,07-09-2016,,301367,SEA.F     ,4,EFUHV8D65A          ,12000,PC,
PC160082,PIZ00003  ,07-09-2016,,301367,SEA.F     ,5,EFU14E652V          ,5000,PC,
PC160082,PIZ00003  ,07-09-2016,,301367,SEA.F     ,6,EFUHV18D65A3        ,5000,PC,
