PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,1,EFDHV15D65BE        ,1152,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,2,EFDHV15D65E         ,1152,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,3,EFDHV15L27BE        ,3552,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,4,EFDHV15L27E         ,2400,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,5,EFDHV23D65BE        ,1152,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,6,EFDHV23D65E         ,2400,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,7,EFDHV23L27BE        ,3552,PC,
PLIC0089,PIZ00003  ,08-23-2015,2015-09-20,301367,SEA.F     ,8,EFDHV23L27E         ,2400,PC,
