PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,1,LDAHV11DH3A2        ,1000,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,2,LDAHV11DH3BA2       ,1000,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,3,LDAHV11LH3A2        ,900,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,4,LDAHV11LH3BA2       ,1250,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,5,LDAHV7DH3A2         ,500,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,6,LDAHV7DH3BA2        ,500,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,7,LDAHV7LH3A2         ,500,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,8,LDAHV7LH3BA2        ,900,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,9,LDAHV9DH3A2         ,1500,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,10,LDAHV9DH3BA2        ,1500,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,11,LDAHV9LH3A2         ,1250,PC,
PC160033,PIZ00003  ,05-22-2016,,301367,SEA.F     ,12,LDAHV9LH3BA2        ,1250,PC,
