PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160175,PIZ00003  ,11-17-2016,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV3DH6A          ,39700,PC,
PC160175,PIZ00003  ,11-17-2016,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV3LH6A          ,13500,PC,
PC160175,PIZ00003  ,11-17-2016,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV5DH6A          ,55000,PC,
PC160175,PIZ00003  ,11-17-2016,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV5LH6A          ,12900,PC,
PC160175,PIZ00003  ,11-17-2016,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV9DH6A          ,14000,PC,
