PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0022,PIZ00003  ,04-30-2015,1970-01-01,301367,SEA.F     ,1,EFD11E65L3L         ,516,PC,
PLIC0022,PIZ00003  ,04-30-2015,1970-01-01,301367,SEA.F     ,2,EFD14E27L3L         ,348,PC,
PLIC0022,PIZ00003  ,04-30-2015,1970-01-01,301367,SEA.F     ,3,EFD19E27L3L         ,612,PC,
PLIC0022,PIZ00003  ,04-30-2015,1970-01-01,301367,SEA.F     ,4,EFD22E65L3L         ,1524,PC,
PLIC0022,PIZ00003  ,04-30-2015,1970-01-01,301367,SEA.F     ,5,EFD25E65L3L         ,1596,PC,
