PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH6T         ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH6T         ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV3DH6T          ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV5DH6T          ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV7DH6T          ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV7LH6T          ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV9DH6T          ,7000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV9LH6T          ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,11,LDAHV12DH6T         ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,12,LDAHV12LH6T         ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,13,LDAHV15DH6T         ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,14,LDAHV15LH6T         ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,15,LDAHV3DH6T          ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,16,LDAHV5DH6T          ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,17,LDAHV7DH6T          ,6000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,18,LDAHV7LH6T          ,1000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,19,LDAHV9DH6T          ,7000,PC,
PC180543,PIZ00003  ,12-31-2018,1970-01-01,301367,00038274,SEA.F     ,20,LDAHV9LH6T          ,1000,PC,
