PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV11L27T         ,SEA.F     ,1,EFDHV11L27T         ,1440,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV15D65T         ,SEA.F     ,2,EFDHV15D65T         ,60000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV15D65TD        ,SEA.F     ,3,EFDHV15D65TD        ,24000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV15L27T         ,SEA.F     ,4,EFDHV15L27T         ,11520,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV20D65T         ,SEA.F     ,5,EFDHV20D65T         ,24000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV23D65T         ,SEA.F     ,6,EFDHV23D65T         ,17952,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV23L27T         ,SEA.F     ,7,EFDHV23L27T         ,3648,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV25D65T         ,SEA.F     ,8,EFDHV25D65T         ,192000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV25D65TD        ,SEA.F     ,9,EFDHV25D65TD        ,96000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV25L27T         ,SEA.F     ,10,EFDHV25L27T         ,9600,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV5D65T          ,SEA.F     ,11,EFDHV5D65T          ,6720,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFDHV8D65T          ,SEA.F     ,12,EFDHV8D65T          ,9600,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU11E272V          ,SEA.F     ,13,EFU11E272V          ,10000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU11E652V          ,SEA.F     ,14,EFU11E652V          ,40000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU14E272V          ,SEA.F     ,15,EFU14E272V          ,24000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU14E652V          ,SEA.F     ,16,EFU14E652V          ,200000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU18E272V          ,SEA.F     ,17,EFU18E272V          ,6000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU18E652V          ,SEA.F     ,18,EFU18E652V          ,80000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU5E282V           ,SEA.F     ,19,EFU5E282V           ,10000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU5E672V           ,SEA.F     ,20,EFU5E672V           ,15000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU8E272V           ,SEA.F     ,21,EFU8E272V           ,15000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFU8E652V           ,SEA.F     ,22,EFU8E652V           ,60000,PC,
PLIC0008,PIZ00003  ,04-25-2015,2015-05-10,EFUHV14D65A         ,SEA.F     ,23,EFUHV14D65A         ,72000,PC,
