PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV20D65A         ,1000,PC,
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFU11E652V          ,5000,PC,
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFUHV11D65A         ,2000,PC,
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFUHV8D65A          ,2000,PC,
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV12DH6T         ,3000,PC,
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV7DH6T          ,6000,PC,
PC190604,PIZ00003  ,05-02-2019,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV9DH6T          ,4000,PC,
