PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV3DH6A          ,6000,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV3LH6A          ,3000,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV5DH6A          ,16500,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV5LH6A          ,6000,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV7DH6A          ,7000,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV7LH6A          ,10000,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV9DH6A          ,22000,PC,
PC180421,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV9LH6A          ,7000,PC,
