PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,4992,PC,
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15L27T1        ,960,PC,
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV23D65T1        ,192,PC,
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV25D65T         ,29952,PC,
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV42D65A         ,984,PC,
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFU14E652V1         ,5000,PC,
PC180491,PIZ00003  ,09-05-2018,1970-01-01,301367,00038274,SEA.F     ,7,EFUHV23D65A         ,100,PC,
