PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180409,PIZ00003  ,03-25-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,960,PC,
PC180409,PIZ00003  ,03-25-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV20D65T1        ,1728,PC,
PC180409,PIZ00003  ,03-25-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV23D65T1        ,1728,PC,
PC180409,PIZ00003  ,03-25-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV25D65T1        ,36000,PC,
PC180409,PIZ00003  ,03-25-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFUHV18D65A3        ,30000,PC,
PC180409,PIZ00003  ,03-25-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFUHV23D65A3        ,1000,PC,
