PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170286,PIZ00003  ,06-27-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,3000,PC,
PC170286,PIZ00003  ,06-27-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV20D65T1        ,5280,PC,
PC170286,PIZ00003  ,06-27-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV25D65T         ,90064,PC,
PC170286,PIZ00003  ,06-27-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV42D65A         ,2500,PC,
PC170286,PIZ00003  ,06-27-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFU11E652V          ,1000,PC,
PC170286,PIZ00003  ,06-27-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFU14E652V1         ,15000,PC,
