PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFUHV14D65A         ,9000,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFUHV11D65A         ,9000,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFUHV18D65A3        ,9000,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFUHV8D65A          ,9000,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV5DH6T          ,7500,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV5LH6T          ,1000,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV7DH6T          ,7400,PC,
PC190620,PIZ00003  ,06-03-2019,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV9DH6T          ,7200,PC,
